,TI,Group 16,xTi,yTi,xGroup16,yGroup16
0,1.0,0.0,-2.338280439376831,4.085627555847168,,
1,1.0,1.0,-2.3303000926971436,4.1043500900268555,-2.319355388482411,4.067836066087087
2,1.0,1.0,-2.3278558254241943,4.110204219818115,-2.3417753774611416,4.1513382593871535
3,1.0,1.0,-2.34233021736145,4.110742568969727,-2.2866837454283893,4.144523211897793
4,1.0,1.0,,,-2.27971302704088,4.2212517163511745
5,1.0,1.0,-2.331590414047241,4.174849987030029,-2.277665512647993,4.061145092871827
6,1.0,1.0,-2.3378348350524902,4.172519683837891,-2.2631836294506398,4.086797398881211
7,1.0,1.0,-2.354741096496582,4.161205291748047,-2.246334632237086,4.042787134358092
8,1.0,1.0,-2.358067035675049,4.151095390319824,-2.246334632237086,4.042787134358092
9,1.0,1.0,-2.3352463245391846,4.156912803649902,-2.318075760708452,4.014970282895026
10,1.0,1.0,-2.3681352138519287,4.1310882568359375,-2.3922774237897535,4.044946415817041
11,1.0,1.0,-2.4021358489990234,4.1078314781188965,-2.277243046800726,4.079721426598418
12,1.0,1.0,-2.3638699054718018,4.121086120605469,-2.2447187186883277,4.078830464261725
13,1.0,1.0,-2.342880964279175,4.123485088348389,-2.231248763602458,4.09688351854098
14,1.0,1.0,-2.3013052940368652,4.140571594238281,-2.26742676358429,4.070296953718361
15,1.0,1.0,-2.3043529987335205,4.135427474975586,-2.265134295930464,4.081852645384957
16,1.0,1.0,-2.305771589279175,4.132064342498779,-2.157213837539811,4.150046904368245
17,1.0,1.0,-2.24503231048584,4.167081356048584,-2.1892921321600034,4.131610847248082
18,1.0,1.0,-2.202274799346924,4.1831207275390625,-2.1892921321600034,4.131610847248082
19,1.0,1.0,-2.2277159690856934,4.174540996551514,-2.167414687643086,4.119357913608527
20,1.0,1.0,-2.1882500648498535,4.186699867248535,-2.2370398996767578,4.118131158331099
21,1.0,1.0,-2.2374930381774902,4.157203674316406,-2.1924728810455325,4.142066509216861
22,1.0,1.0,-2.227116107940674,4.162291526794434,-2.2131742575227653,4.138025783074697
23,1.0,1.0,-2.213505268096924,4.174032688140869,-2.0924205279531995,4.136944350238683
24,1.0,1.0,-2.17284893989563,4.189198017120361,-2.213511068747051,4.101763347469181
25,1.0,1.0,-2.225076198577881,4.158912658691406,-2.1888385678335895,4.148714074206117
26,1.0,1.0,-2.2438089847564697,4.153065204620361,-2.1888385678335895,4.148714074206117
27,1.0,1.0,-2.2489614486694336,4.151122093200684,-2.059361741070797,4.1759100644072085
28,1.0,1.0,-2.182182550430298,4.18657922744751,-2.1976672818706486,4.111585315395853
29,1.0,1.0,-2.2359511852264404,4.154856204986572,-2.1976672818706486,4.111585315395853
30,1.0,1.0,-2.308225631713867,4.115323066711426,-2.256004175467929,4.089610063344388
31,1.0,1.0,-2.3025200366973877,4.1116719245910645,-2.194420336536824,4.104690753573449
32,1.0,1.0,-2.2860231399536133,4.120072841644287,-2.194420336536824,4.104690753573449
33,1.0,1.0,-2.270193099975586,4.121403694152832,-2.378639497631881,4.059293525490614
34,1.0,1.0,-2.3320209980010986,4.1038994789123535,-2.2420113548620844,4.084450956611981
35,1.0,1.0,-2.340304136276245,4.101909637451172,-2.35270035081829,4.027584679746339
36,1.0,1.0,-2.3565657138824463,4.08614444732666,-2.29353934918982,4.063183543507655
37,1.0,1.0,-2.328871726989746,4.096258163452148,-2.29353934918982,4.063183543507655
38,1.0,1.0,-2.336240768432617,4.092433452606201,-2.1953537604944264,4.104172538519043
39,1.0,1.0,-2.299057722091675,4.111691474914551,-2.309782522893426,4.05414646139086
40,1.0,1.0,-2.326019525527954,4.089418411254883,-2.309782522893426,4.05414646139086
41,1.0,1.0,-2.3662593364715576,4.066952705383301,-2.309782522893426,4.05414646139086
42,1.0,1.0,-2.36987566947937,4.059859752655029,-2.371102629164376,4.028559640075333
43,1.0,1.0,-2.3847477436065674,4.054667949676514,-2.371102629164376,4.028559640075333
44,1.0,1.0,-2.3781349658966064,4.05722188949585,-2.3006048423098675,4.034465782887494
45,1.0,1.0,-2.355393648147583,4.063899517059326,-2.202029447185264,4.087807168508402
46,1.0,1.0,-2.3509011268615723,4.063345909118652,-2.202029447185264,4.087807168508402
47,1.0,1.0,-2.338674545288086,4.065690040588379,-2.202029447185264,4.087807168508402
48,1.0,1.0,-2.3321282863616943,4.078950881958008,-2.202029447185264,4.087807168508402
49,1.0,1.0,-2.343322992324829,4.084723949432373,-2.285214685744847,4.058527915042575
50,1.0,1.0,-2.3207509517669678,4.092151165008545,-2.3848214123640887,4.046425625996748
51,1.0,1.0,-2.35317325592041,4.071554660797119,-2.3848214123640887,4.046425625996748
52,1.0,1.0,-2.3445169925689697,4.075775146484375,-2.2969148600806353,4.049047731479989
53,1.0,1.0,-2.35367751121521,4.068309307098389,-2.2969148600806353,4.049047731479989
54,1.0,1.0,-2.278684616088867,4.103927135467529,-2.2969148600806353,4.049047731479989
55,1.0,1.0,-2.2566308975219727,4.112473964691162,-2.2969148600806353,4.049047731479989
56,1.0,1.0,-2.256258010864258,4.112211227416992,-2.2969148600806353,4.049047731479989
57,1.0,1.0,-2.279046058654785,4.106894016265869,-2.2909395408083664,4.088097808464518
58,1.0,1.0,-2.2986960411071777,4.093899726867676,-2.2909395408083664,4.088097808464518
59,1.0,1.0,-2.2734158039093018,4.103271007537842,-2.2909395408083664,4.088097808464518
60,1.0,1.0,-2.2602455615997314,4.112191677093506,-2.2909395408083664,4.088097808464518
61,1.0,1.0,-2.2122950553894043,4.133310794830322,-2.2909395408083664,4.088097808464518
62,1.0,1.0,-2.235245943069458,4.119302749633789,-2.2909395408083664,4.088097808464518
63,1.0,1.0,-2.251985549926758,4.102477550506592,-2.2909395408083664,4.088097808464518
64,1.0,1.0,-2.238882541656494,4.109983921051025,-2.2909395408083664,4.088097808464518
65,1.0,1.0,-2.251234531402588,4.101921558380127,-2.2909395408083664,4.088097808464518
66,1.0,1.0,-2.248615264892578,4.094908714294434,-2.210946336628785,4.065107341677812
67,1.0,1.0,-2.2644200325012207,4.081284046173096,-2.166838172976168,4.089619244553693
68,1.0,1.0,-2.2348272800445557,4.090766429901123,-2.166838172976168,4.089619244553693
69,1.0,1.0,-2.2342569828033447,4.09190559387207,-2.166838172976168,4.089619244553693
70,1.0,1.0,-2.2290842533111572,4.100290298461914,-2.166838172976168,4.089619244553693
71,1.0,1.0,-2.2918498516082764,4.083637714385986,-2.166838172976168,4.089619244553693
72,1.0,1.0,-2.3269925117492676,4.067190170288086,-2.166838172976168,4.089619244553693
73,1.0,1.0,-2.344682455062866,4.076682090759277,-2.166838172976168,4.089619244553693
74,1.0,1.0,-2.3385698795318604,4.110230445861816,-2.2621729409573765,4.145325103617489
75,1.0,1.0,-2.323789119720459,4.133848667144775,-2.328084670397289,4.042679250606394
76,1.0,1.0,-2.3531434535980225,4.120116233825684,-2.284224765814747,4.081190430281012
77,1.0,1.0,-2.324091672897339,4.125256538391113,-2.3198901614711223,4.1975912042268435
78,1.0,1.0,-2.3330578804016113,4.132791996002197,-2.179100761773093,4.124114345586368
79,1.0,1.0,-2.304673433303833,4.155272960662842,-2.3220627088700714,4.060318643435561
80,1.0,1.0,-2.309378147125244,4.159230709075928,-2.2275549460124804,4.126185055451168
81,1.0,1.0,-2.3086698055267334,4.171329975128174,-2.2086047288753545,4.153333429073437
82,1.0,1.0,-2.304755210876465,4.182705402374268,-2.232063750590389,4.180451927095316
83,1.0,1.0,-2.306849956512451,4.190055847167969,-2.2275646811786114,4.238482874528365
84,1.0,1.0,-2.3329343795776367,4.183327674865723,-2.2782352129668637,4.109154735545617
85,1.0,1.0,-2.343007802963257,4.174881935119629,-2.2820448143135605,4.125560174482906
86,1.0,1.0,-2.349851131439209,4.175271987915039,-2.1971784090377535,4.110566181215776
87,1.0,1.0,-2.3087809085845947,4.185213088989258,-2.2261899771465314,4.092609023515371
88,1.0,1.0,-2.300302743911743,4.183271408081055,-2.2676315580852684,4.195388332557738
89,1.0,1.0,-2.3201403617858887,4.172828197479248,-2.1896995461536446,4.1436670275642795
90,1.0,1.0,-2.273637533187866,4.193961143493652,-2.1763344640137916,4.197455748406949
91,1.0,1.0,-2.2569496631622314,4.205432415008545,-2.1970758717049916,4.161774155790951
92,1.0,1.0,-2.2526323795318604,4.208943843841553,-2.172959103281883,4.125451254111016
93,1.0,1.0,-2.261126756668091,4.195061683654785,-2.1884014812314088,4.115457913829879
94,1.0,1.0,-2.2756216526031494,4.185652732849121,-2.291657144050796,4.116231621155365
95,1.0,1.0,-2.3105926513671875,4.161253452301025,-2.306513688752973,4.075034441084344
96,1.0,1.0,-2.3406012058258057,4.141735076904297,-2.306513688752973,4.075034441084344
97,1.0,1.0,-2.368396043777466,4.1302714347839355,-2.306513688752973,4.075034441084344
98,1.0,1.0,-2.325467824935913,4.159618854522705,-2.306513688752973,4.075034441084344
99,1.0,1.0,-2.349341869354248,4.145356178283691,-2.267266882752978,4.08950622990059
100,1.0,1.0,-2.3417768478393555,4.143458366394043,-2.2225356871706397,4.110215243126352
101,1.0,1.0,-2.3084280490875244,4.1693854331970215,-2.268213375004579,4.135234522412429
102,1.0,1.0,-2.309549570083618,4.175006866455078,-2.210625873188477,4.116113811441268
103,1.0,1.0,-2.2962069511413574,4.182863235473633,-2.2310108312650843,4.093049945885765
104,1.0,1.0,-2.3044700622558594,4.181547164916992,-2.265723548361,4.190671600382565
105,1.0,1.0,-2.2997488975524902,4.194111347198486,-2.3546342404394123,4.094778238499706
106,1.0,1.0,-2.3451411724090576,4.175934791564941,-2.253750268593377,4.20086101715576
107,1.0,1.0,-2.3319578170776367,4.192653656005859,-2.24257210369099,4.114211490025151
108,1.0,1.0,-2.305864095687866,4.199230194091797,-2.259867009060736,4.198733155286545
109,1.0,1.0,-2.289311170578003,4.203769683837891,-2.3103406645345985,4.062692893593368
110,1.0,1.0,-2.3022942543029785,4.18218994140625,-2.233753476245737,4.079481804391489
111,1.0,1.0,-2.2988357543945312,4.170386791229248,-2.2369377777858577,4.142431599995814
112,1.0,1.0,-2.2621824741363525,4.184206962585449,-2.2166823930345756,4.151008079530683
113,1.0,1.0,-2.2682316303253174,4.179378032684326,-2.2714444580992676,4.167910833191262
114,1.0,1.0,-2.2837681770324707,4.180233478546143,-2.211051153983042,4.154407686544033
115,1.0,1.0,-2.2863881587982178,4.17503547668457,-2.24481546798909,4.1030934479738805
116,1.0,1.0,-2.300879716873169,4.1639404296875,-2.278363337583549,4.111209939491415
117,1.0,1.0,-2.3013713359832764,4.161738872528076,-2.2596078258117216,4.125560085000795
118,1.0,1.0,-2.3033573627471924,4.149348258972168,-2.2766125997111777,4.122458209481128
119,1.0,1.0,-2.315121650695801,4.136451721191406,-2.293323491242853,4.112274378274962
120,1.0,1.0,-2.311809539794922,4.141149520874023,-2.2774300485067225,4.147495670224626
121,1.0,1.0,-2.327993392944336,4.140084266662598,-2.2774300485067225,4.147495670224626
122,1.0,1.0,-2.306903839111328,4.156198024749756,-2.037567120826515,4.16117043492859
123,1.0,1.0,-2.2748003005981445,4.172901630401611,-2.1813134858095404,4.11973457100353
124,1.0,1.0,-2.261396646499634,4.1811933517456055,-2.2276471133920857,4.207227974019354
125,1.0,1.0,-2.2560927867889404,4.184776782989502,-2.172304392531361,4.143958943350009
126,1.0,1.0,-2.269211530685425,4.182905197143555,-2.176764785068113,4.201282979419742
127,1.0,1.0,-2.2734086513519287,4.187136650085449,-2.3145543850396284,4.213998503892169
128,1.0,1.0,-2.288916826248169,4.193302631378174,-2.1382691659979054,4.225798117448976
129,1.0,1.0,-2.3000738620758057,4.196310043334961,-2.2761860403834464,4.121832263747573
130,1.0,1.0,-2.3273067474365234,4.184718608856201,-2.3090433117998357,4.206501175543586
131,1.0,1.0,-2.3561389446258545,4.179959774017334,-2.3090433117998357,4.206501175543586
132,1.0,1.0,-2.344550132751465,4.178339004516602,-2.223171582602431,4.109073615543898
133,1.0,1.0,-2.350796937942505,4.162039756774902,-2.2160565969716375,4.143401203860898
134,1.0,1.0,-2.3323285579681396,4.171023845672607,-2.2160565969716375,4.143401203860898
135,1.0,1.0,-2.328728199005127,4.173362731933594,-2.1416197971889117,4.169351883099643
136,1.0,1.0,-2.307048797607422,4.180053234100342,-2.2570151046819036,4.107145183123574
137,1.0,1.0,-2.3055734634399414,4.173023223876953,-2.2433080367166487,4.137184261274294
138,1.0,1.0,-2.311661958694458,4.172872543334961,-2.2058641293863195,4.273214451257605
139,1.0,1.0,-2.291628837585449,4.200865745544434,-2.2427975947495673,4.180122207858253
140,1.0,1.0,-2.3036463260650635,4.198545455932617,-2.1616021659351086,4.164924693837678
141,1.0,1.0,-2.2961299419403076,4.198065757751465,-2.2094661455271987,4.097864283141338
142,1.0,1.0,-2.2852299213409424,4.196549415588379,-2.182477786867393,4.056803385070665
143,1.0,1.0,-2.2896676063537598,4.185442924499512,-2.2144615463321506,4.086383677805971
144,1.0,1.0,-2.298121929168701,4.164931774139404,-2.267158730061727,4.077854061433561
145,1.0,1.0,-2.311821222305298,4.14948844909668,-2.2014634575368475,4.091831936952911
146,1.0,1.0,-2.2933123111724854,4.152251243591309,-2.2014634575368475,4.091831936952911
147,1.0,1.0,-2.284926414489746,4.152476787567139,-2.2014634575368475,4.091831936952911
148,1.0,1.0,-2.285705804824829,4.155111312866211,-2.1989898703292248,4.151968352864953
149,1.0,1.0,-2.2750797271728516,4.167883396148682,-2.2527125559267254,4.146783344148987
150,1.0,1.0,-2.2778141498565674,4.167113304138184,-2.268711136586099,4.132216088446807
151,1.0,1.0,-2.2875280380249023,4.163098335266113,-2.2208450250296443,4.153352549559901
152,1.0,1.0,-2.275219440460205,4.174872875213623,-2.176992529730134,4.221447918303532
153,1.0,1.0,-2.288639783859253,4.183095455169678,-2.1911114805989005,4.11977203854567
154,1.0,1.0,-2.264681339263916,4.196902275085449,-2.322214078610596,4.086158741888102
155,1.0,1.0,-2.3236000537872314,4.166607856750488,-2.2569106772500884,4.1330983756255835
156,1.0,1.0,-2.323338508605957,4.1722822189331055,-2.2557136814050613,4.105845499810854
157,1.0,1.0,-2.3085763454437256,4.178624629974365,-2.2584367269616274,4.158439658554019
158,1.0,1.0,-2.305255651473999,4.180218696594238,-2.2387970065570233,4.147098345713943
159,1.0,1.0,-2.3112378120422363,4.172927379608154,-2.287738700067676,4.107531356893356
160,1.0,1.0,-2.324908494949341,4.164046287536621,-2.1628798005230596,4.149100249210214
161,1.0,1.0,-2.30184006690979,4.172909736633301,-2.2272067079740325,4.1706168848247405
162,1.0,1.0,-2.2763619422912598,4.189411163330078,-2.1912622519565637,4.1769927460789
163,1.0,1.0,-2.2583158016204834,4.19643497467041,-2.232447932790503,4.1941282637436075
164,1.0,1.0,-2.2518510818481445,4.203732967376709,-2.225278816427272,4.1286127337511225
165,1.0,1.0,-2.2740094661712646,4.185080051422119,-2.2063613012769596,4.148798805682882
166,1.0,1.0,-2.305783987045288,4.165832996368408,-2.2003167663924006,4.1140531385167645
167,1.0,1.0,-2.2940921783447266,4.162134170532227,-2.196042328880438,4.139990338277794
168,1.0,1.0,-2.286083459854126,4.1692609786987305,-2.2380387724002717,4.076910666009182
169,1.0,1.0,-2.3023715019226074,4.150795936584473,-2.283837874447321,4.116748413809392
170,1.0,1.0,-2.3038225173950195,4.147629737854004,-2.283837874447321,4.116748413809392
171,1.0,1.0,-2.333392381668091,4.1303558349609375,-2.092912673295499,4.163599766369106
172,1.0,1.0,-2.264340877532959,4.170669078826904,-2.2705217542224,4.098243653526555
173,1.0,1.0,-2.275561571121216,4.163443565368652,-2.1725791828788874,4.1301936165082465
174,1.0,1.0,-2.2380735874176025,4.175724506378174,-2.0904275065036746,4.173372364825711
175,1.0,1.0,-2.2320480346679688,4.182071208953857,-2.223977992912873,4.158584109994869
176,1.0,1.0,-2.262160062789917,4.173426628112793,-2.2116361498263553,4.151666900780981
177,1.0,1.0,-2.3110554218292236,4.156503677368164,-2.2986289333759906,4.16920081811304
178,1.0,1.0,-2.335001230239868,4.15880823135376,-2.2036268261976497,4.246267055283741
