,Clustering,Ground Truth
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,1,1
6,0,1
7,0,1
8,1,1
9,0,1
10,2,1
11,0,1
12,0,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,1,1
26,1,1
27,0,1
28,0,1
29,1,1
30,1,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,1,1
41,0,1
42,1,1
43,0,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,1,2
59,2,2
60,2,2
61,1,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,3,3
70,2,3
71,3,3
72,3,3
73,3,3
74,3,3
75,3,3
76,3,3
77,2,3
78,3,3
79,3,3
80,3,3
81,3,3
82,3,3
83,3,3
84,2,3
85,2,3
86,2,3
87,2,3
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,3,3
94,3,3
95,3,3
96,3,3
97,3,3
98,3,3
99,3,3
100,3,3
101,3,3
102,3,3
103,3,3
104,3,3
105,2,3
106,2,3
107,2,3
108,2,3
109,2,3
110,2,3
111,1,3
112,2,3
113,3,3
114,3,3
115,2,3
116,2,3
117,2,3
118,2,3
119,3,3
120,2,3
121,2,3
122,2,3
123,2,3
124,3,3
125,3,3
126,3,3
127,1,3
128,2,3
129,3,3
130,1,3
131,2,3
132,2,3
133,2,3
134,1,3
135,1,3
136,1,3
137,1,3
138,1,3
139,1,3
140,1,3
141,1,3
142,1,3
143,1,3
144,1,3
145,1,3
146,1,3
147,1,3
148,1,3
149,1,3
150,1,3
151,2,3
152,1,3
153,1,3
154,0,3
155,1,3
156,0,3
157,0,3
158,0,3
159,2,3
160,1,3
161,1,3
162,1,3
163,1,3
164,1,3
165,1,3
166,1,3
167,0,3
168,1,3
169,0,3
170,0,3
171,0,3
172,1,3
173,1,3
174,0,3
175,1,3
176,2,3
177,2,3
178,0,3
179,0,3
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,3
186,0,3
187,0,3
188,0,3
189,1,3
190,0,3
191,0,3
192,0,3
193,0,3
194,0,3
195,0,3
196,0,3
197,0,3
198,0,3
199,1,3
200,1,3
201,1,3
202,0,3
203,0,3
204,1,3
205,0,3
206,0,3
207,0,3
208,0,3
209,0,3
210,0,3
211,0,3
212,0,3
213,0,3
214,0,3
215,0,3
216,0,3
217,0,3
218,0,3
219,0,3
220,1,3
221,1,3
222,1,3
223,1,3
224,1,3
225,0,3
226,0,3
227,0,3
228,0,3
229,0,3
230,0,3
231,0,3
232,0,3
233,0,3
234,0,3
235,0,3
236,0,3
237,0,3
238,1,3
239,0,3
240,0,3
241,0,3
242,0,3
243,0,3
244,0,3
245,0,3
246,0,3
247,0,3
248,1,3
249,1,3
250,1,3
251,1,3
252,1,3
253,1,3
254,1,3
255,1,3
256,1,3
257,1,3
258,1,3
259,1,3
260,1,3
261,1,3
262,0,3
263,1,3
264,1,3
265,0,3
266,0,3
267,0,3
268,0,3
269,0,3
270,0,3
271,0,3
272,1,3
273,1,3
274,0,3
275,1,3
276,1,3
277,1,3
278,1,3
279,1,3
280,1,3
281,0,3
282,0,3
283,1,3
284,1,3
285,0,3
286,0,3
287,0,3
288,1,3
289,1,3
290,1,3
291,0,3
292,0,3
293,0,3
294,0,3
295,0,3
296,0,3
297,0,3
298,0,3
299,0,3
300,0,3
301,0,3
302,0,3
303,0,3
304,0,3
305,0,3
306,0,3
307,0,3
308,0,3
309,0,3
310,0,3
311,1,3
312,1,3
313,0,3
314,0,3
315,0,3
316,0,3
317,0,3
318,0,3
319,0,3
320,0,3
321,1,3
322,1,3
323,1,3
324,0,3
325,0,3
326,1,3
327,1,3
328,1,3
329,0,3
330,0,3
331,0,3
332,0,3
333,0,3
334,0,3
335,0,3
336,0,3
337,0,3
338,1,3
339,0,3
340,1,3
341,1,3
342,1,3
343,1,3
344,1,3
345,0,3
346,1,3
347,1,3
348,0,3
349,1,3
350,1,3
351,1,3
352,0,3
353,0,3
354,0,3
355,0,3
356,0,3
357,0,3
358,0,3
359,0,3
360,0,3
361,1,3
362,1,3
363,1,3
364,1,3
365,1,3
366,1,3
367,1,3
368,0,3
369,1,3
370,0,3
371,1,3
372,1,3
373,1,3
374,1,3
375,1,3
376,0,3
377,0,3
378,0,3
379,0,3
380,0,3
381,1,3
382,1,3
383,1,3
384,1,3
385,1,3
386,1,3
387,0,3
388,1,3
389,0,3
390,0,3
391,1,3
392,1,3
393,1,3
394,0,3
395,0,3
396,0,3
397,0,3
398,0,3
399,0,3
400,0,3
401,0,3
402,0,3
403,1,3
404,0,3
405,1,3
406,0,3
407,0,3
408,0,3
409,1,3
410,0,3
411,0,3
412,0,3
413,0,3
414,0,3
415,0,3
416,0,3
417,0,3
418,0,3
419,0,3
420,0,3
421,0,3
422,0,3
423,0,3
424,0,3
425,1,3
426,1,3
427,1,3
428,1,3
429,0,3
430,0,3
431,0,3
432,1,3
433,0,3
434,1,3
435,1,3
436,0,3
437,1,3
438,0,3
439,0,3
440,0,3
441,0,3
442,0,3
443,0,3
444,0,3
445,0,3
446,1,3
447,1,3
448,0,3
449,1,3
450,1,3
451,1,3
452,1,3
453,1,3
454,1,3
455,1,3
456,1,3
457,1,3
458,1,3
459,1,3
460,1,3
461,1,3
462,1,3
463,1,3
464,1,3
465,1,3
466,1,3
467,1,3
468,2,3
469,1,3
470,2,3
471,2,3
472,2,3
473,2,3
474,3,3
475,3,3
476,3,3
477,3,3
478,3,3
479,3,3
480,3,3
481,3,3
482,3,3
483,3,3
484,3,3
485,3,3
486,1,3
487,2,3
488,2,3
489,2,3
490,2,3
491,2,3
492,3,3
493,1,3
494,1,3
495,1,3
496,2,3
497,2,3
498,2,3
499,2,3
500,2,3
501,2,3
502,2,3
503,3,3
504,3,3
505,2,3
506,2,3
507,2,3
508,3,3
509,3,3
510,3,3
511,3,3
512,2,3
513,3,3
514,3,3
515,3,3
516,2,3
517,2,3
518,3,3
519,3,3
520,3,3
521,2,3
522,2,3
523,2,3
524,1,3
525,2,3
526,2,3
527,2,3
528,2,3
529,2,3
530,3,3
531,3,3
532,3,3
533,3,3
534,2,3
535,2,3
536,2,3
537,2,3
538,2,3
539,1,3
540,2,3
541,2,3
542,1,3
543,2,3
544,2,3
545,2,3
546,2,3
547,1,3
548,1,3
549,1,3
550,1,3
551,1,3
552,1,3
553,1,3
554,1,3
555,1,3
556,1,3
557,1,3
558,1,3
559,1,3
560,1,3
561,1,3
562,1,3
563,1,3
564,1,3
565,1,3
566,1,3
567,1,3
568,1,3
569,1,3
570,1,3
571,1,3
572,1,3
573,1,3
574,1,3
575,1,3
576,1,3
577,1,3
578,1,3
579,1,3
580,0,3
581,1,3
582,1,3
583,0,3
584,1,3
585,1,3
586,1,3
587,1,3
588,1,3
589,0,3
590,1,3
591,1,3
592,1,3
593,1,3
594,1,3
595,1,3
596,1,3
597,1,3
598,0,3
599,1,3
